Ranking,Name,Tuition,Board,Salary
1,Harvard University,"$48,949","$16,660","$92,033"
2,Massachusetts Institute of Technology,"$49,892","$14,720","$96,033"
3,Yale University,"$51,400","$15,500","$80,200"
4,University of Pennsylvania,"$53,534","$15,066","$82,667"
=5,California Institute of Technology,"$49,908","$14,796","$79,300"
=5,Princeton University,"$47,140","$15,610","$77,700"
=7,Brown University,"$53,419","$14,020","$63,433"
=7,Stanford University,"$49,617","$15,112","$88,567"
9,Cornell University,"$52,853","$14,330","$74,300"
10,Duke University,"$53,500","$14,798","$79,667"
11,Northwestern University,"$52,678","$16,047","$66,433"
=12,Dartmouth College,"$52,950","$15,159","$71,100"
=12,Johns Hopkins University,"$52,170","$15,410","$69,633"
14,University of Chicago,"$54,825","$15,726","$65,867"
15,Columbia University,"$51,640","$13,644","$78,900"
16,Rice University,"$45,608","$13,850","$64,733"
17,Vanderbilt University,"$47,664","$15,584","$64,733"
18,University of Southern California,"$54,259","$14,886","$70,700"
19,Washington University in St Louis,"$51,533","$16,006","$66,400"
20,Amherst College,"$54,310","$14,190","$60,333"
21,Williams College,"$53,550","$14,150","$55,767"
22,Emory University,"$49,392","$13,894","$62,300"
23,Pomona College,"$51,075","$16,150","$55,367"
24,Wellesley College,"$51,148","$15,836","$59,133"
=25,"University of California, Los Angeles","$41,275","$15,441","$59,667"
=25,Carnegie Mellon University,"$53,910","$13,784","$80,533"
27,University of Michigan-Ann Arbor,"$49,142","$11,198","$60,300"
28,Swarthmore College,"$50,822","$14,952","$52,567"
29,Georgetown University,"$52,300","$15,434","$89,200"
30,Tufts University,"$54,318","$14,054","$69,100"
31,New York University,"$50,464","$17,664","$60,100"
32,University of Notre Dame,"$51,495","$14,890","$73,367"
33,University of North Carolina at Chapel Hill,"$34,588","$11,556","$53,567"
34,"University of California, Berkeley","$42,184","$17,549","$62,433"
35,Middlebury College,"$52,496","$14,968","$56,300"
36,"University of California, Davis","$42,433","$16,136","$56,967"
37,"University of California, San Diego","$42,032","$13,115","$59,167"
38,Claremont McKenna College,"$52,825","$16,220","$71,433"
39,Haverford College,"$52,754","$15,958","$57,867"
40,Carleton College,"$52,782","$13,632","$52,100"
41,Smith College,"$50,044","$16,730","$45,167"
42,University of Washington-Seattle,"$35,538","$12,117","$55,400"
43,Wesleyan University,"$52,504","$14,466","$50,767"
=44,Boston University,"$52,082","$15,270","$62,267"
=44,Bowdoin College,"$51,848","$14,132","$59,833"
46,Purdue University West Lafayette,"$28,794","$10,030","$54,800"
47,University of Illinois at Urbana-Champaign,"$34,719","$11,308","$58,567"
48,Colgate University,"$53,980","$13,520","$61,733"
49,University of Miami,"$48,484","$13,666","$57,467"
50,University of Virginia (Main campus)  ,"$47,650","$11,220","$60,667"
51,Barnard College,"$52,662","$16,100","$57,033"
52,Case Western Reserve University,"$47,500","$14,784","$71,033"
53,Bryn Mawr College,"$50,500","$15,910","$53,767"
54,Davidson College,"$49,949","$13,954","$55,100"
55,Lehigh University,"$50,740","$13,120","$78,600"
56,Vassar College,"$55,210","$12,900","$51,767"
57,Grinnell College,"$50,714","$12,400","$45,500"
58,University of Rochester,"$52,020","$15,398","$58,367"
=59,Boston College,"$53,346","$14,142","$69,733"
=59,Hamilton College,"$52,770","$13,400","$58,133"
=61,Mount Holyoke College,"$47,940","$14,060","$46,267"
=61,University of Texas at Austin,"$36,744","$10,070","$55,367"
=63,Bates College,"$52,042","$14,678","$55,500"
=63,University of Florida,"$28,659","$9,910","$53,400"
65,Scripps College,"$52,966","$16,294","$50,533"
66,University of Richmond,"$50,910","$11,820","$61,700"
67,University of Wisconsin-Madison,"$34,783","$10,842","$54,000"
=68,Georgia Institute of Technology,"$33,014","$11,492","$76,467"
=68,Wake Forest University,"$51,400","$13,926","$61,267"
70,Washington and Lee University,"$50,170","$11,910","$73,767"
71,"University of California, Santa Barbara","$42,465","$15,169","$53,067"
72,George Washington University,"$51,346","$13,000","$67,367"
73,"University of California, Irvine","$41,752","$14,861","$56,000"
74,Bucknell University,"$53,986","$13,150","$68,700"
=75,"University of Maryland, College Park","$33,606","$12,402","$61,700"
=75,Reed College,"$54,200","$13,670","$38,433"
77,Pitzer College,"$52,236","$16,264","$46,967"
78,Texas A&M University-College Station,"$35,860","$10,368","$55,800"
79,William & Mary,"$43,670","$11,799","$56,300"
80,United States Naval Academy,n/a,n/a,n/a
=81,University of Illinois at Chicago,"$25,430","$11,930","$52,533"
=81,Michigan State University,"$40,024","$10,026","$51,667"
83,Macalester College,"$52,464","$11,672","$46,467"
=84,Southern Methodist University,"$52,498","$16,510","$57,533"
=84,Tulane University,"$52,960","$14,536","$52,900"
86,Ohio State University (Main campus)  ,"$29,696","$12,292","$44,233"
=87,Lafayette College,"$50,850","$15,040","$68,300"
=87,Santa Clara University,"$49,858","$14,487","$69,933"
=87,Trinity College,"$54,770","$14,200","$59,867"
90,Loyola Marymount University,"$46,136","$13,255","$57,067"
=91,Franklin & Marshall College,"$54,370","$13,580","$55,067"
=91,Kenyon College,"$53,560","$12,280","$45,900"
=93,Northeastern University,"$49,497","$15,880","$64,367"
=93,Skidmore College,"$52,446","$14,004","$46,600"
95,University of Minnesota Twin Cities,"$26,603","$9,852","$50,000"
=96,Drexel University,"$52,002","$13,890","$66,000"
=96,Oberlin College,"$53,460","$15,212","$40,433"
=96,University of Pittsburgh-Pittsburgh campus,"$30,642","$10,950","$51,133"
99,Occidental College,"$52,838","$14,968","$49,600"
100,Dickinson College,"$52,930","$13,236","$55,167"
=101,Gettysburg College,"$52,640","$12,570","$54,033"
=101,Whitman College,"$49,780","$12,524","$47,233"
103,Connecticut College,"$52,850","$14,590","$53,333"
104,North Carolina State University,"$27,406","$10,854","$49,800"
=105,University of Connecticut,"$36,948","$12,514","$56,067"
=105,Penn State (Main campus)  ,"$33,664","$11,280","$48,767"
=105,Stony Brook University,"$26,767","$13,446","$55,900"
=105,Virginia Polytechnic Institute and State University,"$31,014","$8,920","$60,667"
109,Brandeis University,"$53,182","$14,906","$56,667"
110,University at Buffalo,"$27,068","$12,477","$50,300"
=111,Colorado College,"$52,818","$12,076","$42,333"
=111,Trinity University,"$41,344","$13,136","$54,500"
=113,University of the Pacific,"$46,346","$13,356","$69,733"
=113,Seattle University,"$42,885","$12,072","$55,933"
115,Union College,"$53,490","$13,119","$64,200"
116,DePauw University,"$47,838","$12,529","$50,800"
=117,Denison University,"$50,440","$12,330","$48,900"
=117,Howard University,"$25,697","$13,504","$47,333"
119,Worcester Polytechnic Institute,"$48,628","$14,218","$82,600"
120,Babson College,"$49,664","$15,838","$91,400"
121,Saint Louis University,"$42,166","$10,996","$54,900"
122,Rensselaer Polytechnic Institute,"$52,305","$14,960","$79,833"
=123,Indiana University Bloomington,"$34,845","$10,258","$46,167"
=123,Syracuse University,"$46,755","$15,558","$59,033"
125,College of the Holy Cross,"$50,630","$13,690","$66,433"
126,University of Utah,"$28,127","$9,867","$51,167"
=127,Creighton University,"$38,750","$10,702","$57,633"
=127,Simmons University,"$39,610","$14,800","$51,833"
129,Villanova University,"$51,284","$13,547","$75,433"
130,Rutgers University-New Brunswick,"$30,579","$12,452","$56,267"
=131,American University,"$46,615","$15,898","$58,700"
=131,University of Denver,"$48,669","$12,612","$54,000"
133,Wheaton College (Massachusetts),"$50,850","$12,968","$46,133"
=134,Bentley University,"$48,000","$15,720","$81,467"
=134,Rhodes College,"$46,504","$11,290","$51,667"
136,University of Arizona,"$32,429","$12,300","$45,700"
=137,Illinois Institute of Technology,"$45,253","$13,007","$69,400"
=137,Pepperdine University,"$51,992","$14,870","$61,933"
139,Rhode Island School of Design,"$48,470","$13,050","$47,400"
140,Yeshiva University,"$42,000","$11,950","$56,800"
=141,Sewanee-The University of the South,"$41,084","$12,880","$42,233"
=141,Willamette University,"$48,158","$11,880","$49,833"
=143,Brigham Young University-Provo,"$5,460","$7,530","$57,900"
=143,Elon University,"$34,273","$11,869","$49,133"
=143,Hobart and William Smith Colleges,"$53,525","$14,250","$51,100"
=143,The College of Wooster,"$48,600","$11,400","$46,033"
147,University of Georgia,"$30,392","$10,060","$48,767"
=148,University of Delaware,"$33,150","$12,332","$55,667"
=148,Furman University,"$48,348","$12,158","$47,933"
=150,University of Iowa,"$30,609","$10,450","$50,400"
=150,University of San Diego,"$47,708","$12,630","$58,733"
=150,Spelman College,"$28,181","$13,461","$46,600"
=153,Catholic University of America,"$44,060","$14,316","$55,500"
=153,"Binghamton University, State University of New York","$24,403","$14,577","$59,400"
=155,Berea College,"$25,760","$6,534","$32,967"
=155,Rochester Institute of Technology,"$40,068","$12,666","$60,767"
157,Sarah Lawrence College,"$54,010","$14,856","$39,967"
=158,Chapman University,"$50,594","$14,910","$52,167"
=158,University of Colorado Boulder,"$36,220","$13,998","$48,867"
=160,Allegheny College,"$45,970","$11,650","$49,500"
=160,University of Massachusetts Amherst,"$33,477","$12,258","$50,133"
=160,Ohio Northern University,"$30,990","$11,270","$61,500"
=160,Stevens Institute of Technology,"$50,554","$14,400","$86,733"
164,University of San Francisco,"$46,250","$14,330","$60,833"
=165,Marquette University,"$39,870","$11,890","$59,200"
=165,Texas Christian University,"$44,760","$12,360","$50,900"
=167,Baylor University,"$43,790","$12,163","$49,733"
=167,Muhlenberg College,"$50,830","$11,420","$57,000"
169,Colorado School of Mines,"$37,436","$11,897","$80,900"
=170,California Institute of the Arts,"$47,446","$11,757","$35,500"
=170,Samford University,"$30,490","$10,280","$47,333"
=172,Butler University,"$39,960","$13,030","$55,433"
=172,University of Detroit Mercy,"$41,158","$9,452","$46,267"
=172,Loyola University Chicago,"$42,828","$14,080","$52,267"
=172,Ursinus College,"$50,360","$12,560","$53,667"
=176,Fordham University,"$50,601","$17,445","$57,600"
=176,Linfield College - McMinnville campus,"$41,646","$12,380","$53,267"
=176,St Olaf College,"$46,000","$10,430","$47,567"
=176,Virginia Military Institute,"$43,902","$9,236","$62,700"
=176,Washington State University,"$25,817","$11,356","$48,900"
=181,Kalamazoo College,"$46,840","$9,390","$49,400"
=181,Wheaton College (Illinois),"$35,190","$9,806","$45,367"
183,University of Colorado Denver,"$25,259",n/a,"$55,833"
184,George Mason University,"$34,370","$12,028","$58,433"
=185,Ohio Wesleyan University,"$44,690","$12,460","$43,833"
=185,Temple University,"$28,418","$11,696","$48,767"
187,St Lawrence University,"$52,990","$13,656","$47,367"
188,Clemson University,"$36,058","$9,592","$51,367"
=189,"University of California, Riverside","$41,931","$15,542","$48,067"
=189,Lawrence University,"$46,101","$10,032","$42,300"
=189,Westmont College,"$44,044","$13,886","$49,133"
192,Gustavus Adolphus College,"$44,080","$9,670","$49,667"
=193,"California Polytechnic State University, San Luis Obispo","$21,312","$13,134","$63,933"
=193,Saint Mary's College of California,"$45,686","$15,320","$57,100"
195,University of Tulsa,"$39,502","$11,116","$45,733"
196,State University of New York Albany,"$24,370","$13,464","$50,733"
197,Bradley University,"$32,930","$10,310","$52,067"
198,University of the Sciences,"$39,994","$15,738","$93,067"
=199,Fairfield University,"$47,165","$14,280","$70,133"
=199,Michigan Technological University,"$33,961","$10,477","$64,167"
=199,Missouri University of Science and Technology,"$27,701","$10,094","$67,467"
=199,Wofford College,"$41,955","$12,140","$50,400"
=203,Clark University,"$44,400","$8,860","$45,467"
=203,Lake Forest College,"$45,548","$10,052","$49,000"
=205,CUNY City College of New York,"$14,330","$15,550","$45,967"
=205,Clarkson University,"$47,950","$14,488","$69,733"
=205,University of Oklahoma,"$24,444","$10,588","$48,833"
=208,Adelphi University,"$37,170","$15,120","$55,000"
=208,Bryant University,"$42,109","$15,095","$66,667"
=208,CUNY Hunter College,"$14,372","$8,288","$45,767"
=208,Drake University,"$39,062","$10,158","$56,933"
=208,Florida State University,"$21,683","$10,458","$45,100"
=208,Loyola University Maryland,"$47,560","$14,150","$65,300"
=208,University of Portland,"$44,026","$12,658","$56,400"
=208,Susquehanna University,"$45,470","$12,090","$52,200"
=208,Washington & Jefferson College,"$46,628","$11,806","$51,333"
217,Drew University,"$49,168","$13,696","$51,267"
218,Southwestern University,"$40,560","$11,170","$50,467"
219,Miami University,"$32,750","$13,202","$45,933"
220,Knox College,"$44,958","$9,696","$39,867"
=221,DePaul University,"$39,010","$13,797","$51,533"
=221,Stonehill College,"$41,300","$15,760","$59,333"
=221,Washington College,"$44,820","$11,040","$46,900"
=224,Arizona State University (Tempe)  ,"$27,372","$12,209","$46,067"
=224,Beloit College,"$48,706","$8,436","$40,600"
=224,Centre College,"$40,500","$10,180","$44,300"
=224,Dominican University of California,"$44,690","$14,650","$53,067"
228,Hofstra University,"$43,960","$14,250","$52,867"
=229,"Embry-Riddle Aeronautical University, Daytona Beach","$34,822","$11,100","$63,367"
=229,Gonzaga University,"$41,330","$11,550","$54,400"
=229,Providence College,"$48,764","$14,240","$60,833"
=232,CUNY Bernard M. Baruch College,"$14,452","$17,926","$56,250"
=232,University of Scranton,"$43,310","$14,618","$56,433"
=234,Ithaca College,"$42,884","$15,274","$51,000"
=234,Lewis & Clark College,"$48,988","$11,996","$43,633"
=234,Mercer University,"$24,480","$11,315","$47,233"
237,Pratt Institute,"$50,038","$12,020","$42,600"
238,University of Kansas,"$26,592","$10,276","$46,700"
=239,University of Oregon,"$34,611","$11,450","$43,233"
=239,Southern Illinois University Carbondale,"$26,856","$10,622","$41,967"
=239,Westminster College (Utah),"$33,560","$9,244","$48,000"
=242,Cornell College,"$40,880","$9,110","$41,700"
=242,University of Dayton,"$41,750","$13,180","$52,433"
=242,College of Saint Benedict,"$43,738","$10,742","$49,933"
=245,Florida Institute of Technology,"$41,240","$13,610","$57,667"
=245,New Jersey Institute of Technology,"$31,918","$13,300","$66,300"
=245,Saint Joseph's University,"$43,880","$14,840","$58,533"
=245,University of Wyoming,"$13,731","$10,320","$46,533"
=249,Auburn University,"$29,640","$13,332","$47,200"
=249,Oklahoma City University,"$30,726","$8,624","$41,067"
=251,"University of California, Santa Cruz","$42,034","$16,055","$44,533"
=251,Rutgers University-Newark,"$30,026","$13,266","$56,267"
=253,Albion College,"$43,050","$12,210","$46,167"
=253,Jefferson (Philadelphia University + Thomas Jefferson University),"$39,130","$13,005","$49,533"
=253,Saint John's University,"$43,356","$10,116","$58,600"
=256,University of Alabama at Birmingham,"$19,032","$11,682","$40,367"
=256,Luther College,"$41,020","$8,970","$44,233"
=256,Molloy College,"$30,310","$14,712","$57,967"
=256,Saint Anselm College,"$39,990","$14,146","$55,533"
260,University of Hawai’i at Mānoa,"$33,786","$13,673","$44,133"
=261,Hope College,"$32,780","$10,000","$44,200"
=261,Quinnipiac University,"$46,780","$14,190","$60,533"
=261,Valparaiso University,"$38,760","$11,400","$48,733"
=264,Bard College,"$52,906","$15,066","$38,100"
=264,Rollins College,"$48,335","$14,730","$44,033"
=266,Manhattan College,"$41,412","$15,600","$63,167"
=266,The College of New Jersey,"$27,578","$13,201","$56,900"
=266,New York Institute of Technology,"$35,870","$17,086","$52,933"
269,Earlham College,"$45,750","$9,920","$34,300"
=270,Hampshire College,"$51,608","$13,606","$33,400"
=270,San Diego State University,"$19,340","$15,966","$48,900"
=270,The University of Tennessee-Knoxville,"$31,390","$10,696","$43,600"
273,Duquesne University,"$36,394","$12,114","$56,467"
274,Hampden-Sydney College,"$43,940","$13,420","$50,200"
275,Whittier College,"$46,110","$13,310","$44,633"
=276,"University of Nevada, Reno","$21,540","$10,940","$45,667"
=276,Rutgers University-Camden,"$29,924","$12,094","$56,267"
=276,University of South Florida (Tampa)  ,"$17,324","$9,700","$42,100"
=279,Augustana College (Illinois),"$40,908","$10,314","$49,467"
=279,James Madison University,"$27,230","$10,112","$54,333"
=279,MCPHS University,"$32,590","$16,400","$114,033"
282,Austin College,"$38,800","$12,334","$48,100"
=283,"University of Maryland, Baltimore County","$25,654","$11,836","$54,267"
=283,University of Vermont,"$41,356","$12,022","$45,467"
=285,"Embry-Riddle Aeronautical University, Prescott","$34,662","$10,468","$63,367"
=285,Moravian College,"$42,024","$12,694","$49,300"
=287,Elizabethtown College,"$45,350","$10,990","$49,467"
=287,Iowa State University,"$22,472","$8,546","$49,033"
=287,San Jose State University,"$19,601","$15,594","$54,500"
=287,Western New England University,"$35,740","$13,442","$55,433"
291,Suffolk University,"$37,270","$15,046","$52,033"
=292,CUNY Queens College,"$14,528","$14,370","$47,800"
=292,Oregon State University,"$29,457","$11,445","$47,500"
=292,Pace University-New York,"$43,986","$18,002","$58,333"
=295,Louisiana State University,"$28,051","$11,750","$47,833"
=295,Siena College,"$35,735","$14,550","$55,267"
=297,Illinois State University,"$18,653","$9,850","$46,033"
=297,University of Washington-Bothell,"$35,475","$11,259","$55,400"
=299,Concordia College at Moorhead,"$38,378","$8,040","$42,733"
=299,Eastern Mennonite University,"$35,800","$11,000","$38,800"
=299,SUNY College of Environmental Science and Forestry,"$18,193","$16,510","$43,267"
=299,Wayne State University,"$29,663","$10,102","$40,033"
303,University of St Thomas (Minnesota),"$41,133","$10,054","$56,200"
304,Xavier University,"$37,230","$12,150","$48,800"
=305,University of Evansville,"$35,396","$12,160","$40,900"
=305,John Carroll University,"$39,990","$11,580","$51,967"
=305,University of St Thomas (Texas)  ,"$32,660","$8,850","$48,767"
=308,Hanover College,"$36,520","$11,230","$43,600"
=308,Mount Saint Mary's University,"$39,608","$12,138","$51,900"
=308,St John Fisher College,"$33,120","$12,150","$46,200"
=311,University of Central Florida,"$22,467","$9,764","$43,867"
=311,La Salle University,"$29,500","$13,976","$54,400"
=311,University of Mississippi,"$23,564","$10,502","$41,433"
=311,Rowan University,"$21,890","$12,236","$49,500"
=311,University of Texas at Dallas,"$29,656","$11,112","$51,300"
=311,Wagner College,"$45,380","$13,650","$55,600"
=317,Albany College of Pharmacy and Health Sciences,"$33,621","$10,800","$120,700"
=317,Dominican University (Illinois),"$32,530","$9,942","$45,100"
=319,"California State University, Long Beach","$18,610","$12,484","$47,233"
=319,Coe College,"$42,430","$9,140","$44,233"
=319,Rider University,"$41,310","$14,860","$50,067"
=319,Union University,"$31,510","$10,400","$41,300"
=323,Azusa Pacific University,"$37,506","$9,794","$50,533"
=323,CUNY Brooklyn College,"$14,430",n/a,"$43,967"
=323,Chatham University,"$36,510","$11,390","$34,667"
=323,University of Kentucky,"$28,046","$12,858","$43,333"
=323,University of Toledo,"$18,885","$11,004","$41,867"
=328,University of Cincinnati,"$26,334","$11,118","$40,233"
=328,John Brown University,"$26,144","$9,040","$46,233"
=328,Widener University,"$44,166","$14,024","$53,167"
=328,William Jewell College,"$33,686","$9,640","$44,067"
=332,Eckerd College,"$43,044","$11,706","$41,367"
=332,University of Missouri-Kansas City,"$24,490","$11,026","$44,433"
=332,Pacific University,"$43,556","$12,162","$43,500"
=332,Seton Hall University,"$40,588","$13,502","$55,800"
=332,The College of St Scholastica,"$36,212","$9,522","$50,800"
=337,Marietta College,"$36,040","$11,330","$41,800"
=337,University of Minnesota Morris,"$15,092","$8,150","$39,700"
=337,SUNY New Paltz,"$17,625","$12,680","$44,100"
=340,Doane University,"$32,250","$9,090","$43,800"
=340,Illinois College,"$32,140","$9,190","$40,000"
=340,Roanoke College,"$42,694","$13,258","$43,900"
=343,University of Alaska Fairbanks,"$23,382","$8,730","$37,333"
=343,"California State University, Chico","$19,228","$12,712","$46,033"
=343,Canisius College,"$36,454","$13,218","$46,367"
=343,Indiana Wesleyan University-Marion,"$25,980","$8,312","$48,100"
=343,The New School,"$47,351","$18,600","$42,767"
=348,University of Missouri-Columbia,"$26,506","$10,676","$46,800"
=348,University of Redlands,"$48,072","$13,862","$52,867"
=348,University of South Carolina-Columbia,"$31,962","$10,008","$43,367"
=351,School of the Art Institute of Chicago,"$47,420","$13,890","$32,500"
=351,California Lutheran University,"$41,363","$13,320","$52,667"
=351,Lycoming College,"$38,618","$11,980","$44,967"
=354,Ohio University (Main campus),"$21,360","$11,598","$40,000"
=354,Ringling College of Art and Design,"$44,560","$14,600","$33,767"
=356,"California State University, Fresno","$18,465","$9,704","$43,667"
=356,College for Creative Studies,"$42,460","$8,650","$40,967"
=356,Point Loma Nazarene University,"$34,600","$10,150","$49,433"
359,Calvin College,"$33,100","$9,990","$43,267"
=360,Augustana University,"$31,960","$8,008","$42,367"
=360,University of Hartford,"$38,910","$12,346","$46,367"
=360,Hartwick College,"$44,134","$12,093","$43,467"
=360,College of Idaho,"$28,755","$9,192","$39,100"
=364,Alma College,"$38,858","$10,642","$42,733"
=364,Bellarmine University,"$40,350","$12,182","$46,100"
=364,University of Houston,"$22,066","$9,984","$50,133"
=364,Loyola University New Orleans,"$39,242","$12,666","$43,300"
=368,Andrews University,"$28,436","$9,078","$39,400"
=368,Stetson University,"$44,490","$12,684","$41,767"
=370,Assumption College,"$36,260","$12,196","$53,933"
=370,Westminster College (Missouri),"$25,940","$9,810","$41,233"
=370,Westminster College (Pennsylvania),"$36,276","$11,020","$42,967"
=373,University of Louisville,"$26,286","$8,374","$40,200"
=373,Oklahoma State University,"$23,776","$8,940","$44,867"
=375,"California State University, Northridge","$18,755","$10,402","$43,967"
=375,Eastern Illinois University,"$15,044","$9,736","$40,733"
=375,Florida International University,"$18,954","$10,882","$44,733"
=375,Nazareth College,"$33,324","$13,410","$44,133"
=375,Stockton University,"$20,357","$12,120","$47,100"
380,Roosevelt University,"$28,963","$12,927","$43,667"
=381,"California State University, Monterey Bay","$18,923","$12,396","$42,433"
=381,Indiana University-Purdue University Indianapolis,"$29,806","$9,618","$41,233"
=381,Millikin University,"$33,066","$11,498","$42,367"
=381,Pacific Lutheran University,"$40,722","$10,520","$47,833"
=381,Taylor University,"$32,885","$9,245","$36,833"
=381,Transylvania University,"$37,290","$10,160","$41,833"
=387,Cedar Crest College,"$38,092","$11,208","$46,267"
=387,Wartburg College,"$39,730","$9,748","$43,767"
=389,"California State Polytechnic University, Pomona","$19,219","$14,514","$51,933"
=389,Wittenberg University,"$38,730","$10,126","$42,167"
=391,Gannon University,"$31,842","$11,990","$46,600"
=391,Saint Vincent College,"$34,430","$11,399","$46,767"
=391,Virginia Commonwealth University,"$32,768","$11,506","$42,533"
=394,Towson University,"$22,140","$12,184","$49,933"
=394,Xavier University of Louisiana,"$23,606","$9,534","$48,300"
=396,Hendrix College,"$44,070","$11,926","$40,267"
=396,Lebanon Valley College,"$42,180","$11,460","$45,600"
=396,Misericordia University,"$31,660","$13,550","$49,367"
=396,Seattle Pacific University,"$40,902","$11,232","$47,100"
=396,Western Illinois University,"$12,664","$9,630","$41,933"
401-500,University of Alabama,"$28,100","$13,324","$43,033"
401-500,University of Alabama in Huntsville,"$21,480","$9,748","$45,933"
401-500,Alverno College,"$28,277","$8,296","$37,667"
401-500,Arcadia University,"$42,330","$13,660","$43,167"
401-500,Arizona State University (Downtown Phoenix),"$27,372","$13,842","$47,700"
401-500,University of Arkansas,"$24,308","$10,704","$43,800"
401-500,Augsburg University,"$37,615","$9,939","$46,600"
401-500,Baldwin Wallace University,"$31,668","$9,142","$44,533"
401-500,Belmont University,"$32,820","$11,680","$42,967"
401-500,Benedictine University,"$32,739","$10,006","$49,633"
401-500,Berry College,"$35,176","$12,260","$38,900"
401-500,Bethel University,"$36,210","$10,340","$45,800"
401-500,CUNY Lehman College,"$14,400","$13,338","$41,567"
